Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr)
2005-12-01,2314.05,2345.4,2299.25,2342.3,199599080,5930.66
2005-12-02,2358.45,2366.95,2340.7,2345.15,233508015,6440.45
2005-12-05,2354.2,2354.3,2315.1,2319.7,179297361,4255.51
2005-12-06,2322.8,2340.45,2307.95,2318.45,180831033,4782.06
2005-12-07,2321.5,2341.75,2321.5,2339.75,192791379,4798.77
2005-12-08,2348.0,2353.65,2329.95,2350.9,202206083,5428.14
2005-12-09,2355.15,2388.05,2355.15,2385.85,224448066,6371.0
2005-12-12,2393.9,2410.85,2392.7,2402.5,205182931,5162.59
2005-12-13,2403.65,2429.2,2396.4,2427.9,229397746,6359.5
2005-12-14,2432.05,2441.1,2411.4,2425.7,278730001,6742.86
2005-12-15,2437.3,2438.4,2390.9,2401.2,230426578,6418.15
2005-12-16,2413.1,2427.65,2396.8,2425.4,224367538,6724.26
2005-12-19,2431.6,2454.0,2431.6,2452.65,218288268,5611.29
2005-12-20,2455.4,2461.4,2437.65,2446.85,218154352,5439.59
2005-12-21,2452.75,2463.8,2427.9,2445.5,215562628,5585.65
2005-12-22,2454.75,2461.85,2440.65,2454.35,195784981,4959.0
2005-12-23,2462.1,2468.6,2422.15,2426.1,181517466,4785.35
2005-12-26,2418.2,2418.2,2372.0,2377.25,168409330,4196.35
2005-12-27,2369.45,2428.5,2362.75,2424.65,168551294,4506.74
2005-12-28,2426.55,2440.05,2411.25,2422.05,185018105,5686.26
2005-12-29,2429.55,2444.2,2424.35,2440.3,216147418,5908.89
2005-12-30,2442.05,2465.0,2436.95,2459.2,197738794,4907.01
2006-01-02,2465.15,2473.7,2456.5,2464.25,196860733,4347.25
2006-01-03,2471.8,2504.35,2466.7,2502.55,246657921,5185.23
2006-01-04,2514.55,2525.95,2508.45,2522.55,262104105,5961.04
2006-01-05,2527.65,2531.55,2507.7,2525.4,267015049,6006.0
2006-01-06,2534.3,2545.4,2510.1,2537.3,269778123,6444.43
2006-01-09,2547.65,2550.4,2531.55,2540.4,238971991,5897.31
2006-01-10,2540.25,2540.25,2508.0,2512.05,222932552,5809.6
2006-01-12,2491.75,2514.45,2480.05,2502.05,235633036,8235.29
2006-01-13,2506.6,2528.0,2499.65,2502.75,181264759,5142.76
2006-01-16,2502.7,2503.6,2481.35,2486.15,162775290,5018.65
2006-01-17,2493.65,2507.75,2468.25,2473.65,211479838,8058.58
2006-01-18,2452.45,2469.2,2438.45,2455.75,239705460,8737.68
2006-01-19,2472.95,2508.7,2472.95,2506.3,199369412,5527.99
2006-01-20,2515.0,2537.85,2514.35,2529.1,213803972,6782.68
2006-01-23,2516.2,2527.7,2510.3,2517.75,175659447,4847.21
2006-01-24,2532.0,2542.15,2526.05,2532.5,201107051,5522.26
2006-01-25,2543.0,2559.1,2533.0,2548.6,263499366,7770.3
2006-01-27,2557.95,2591.1,2557.95,2587.5,273607595,6691.21
2006-01-30,2598.6,2604.15,2563.8,2570.15,211496452,5449.72
2006-01-31,2580.3,2592.65,2578.2,2585.95,194449155,4972.72
2006-02-01,2593.0,2594.5,2552.4,2560.55,237235370,6386.74
2006-02-02,2573.8,2581.5,2548.95,2559.55,237833539,6006.63
2006-02-03,2553.2,2563.95,2543.55,2550.2,219798002,5583.52
2006-02-06,2553.55,2593.6,2546.1,2588.65,206368154,5838.08
2006-02-07,2599.1,2609.55,2584.25,2605.35,262868394,6537.2
2006-02-08,2600.5,2608.5,2583.35,2603.25,255371072,6309.7
2006-02-10,2612.95,2623.7,2611.6,2621.4,238852227,6705.22
2006-02-13,2624.1,2635.7,2617.9,2634.6,228913116,6058.82
2006-02-14,2642.55,2646.1,2612.2,2618.0,244301155,7231.02
2006-02-15,2636.3,2642.65,2607.55,2624.85,230455375,6779.32
2006-02-16,2633.55,2643.1,2622.65,2630.25,224496697,6125.24
2006-02-17,2637.85,2643.65,2589.85,2593.55,218138482,6188.71
2006-02-20,2594.1,2601.45,2563.35,2598.95,171517400,4790.07
2006-02-21,2608.15,2625.65,2608.15,2620.65,182348189,5025.28
2006-02-22,2625.6,2639.4,2621.25,2635.85,182111974,4792.65
2006-02-23,2642.5,2656.3,2638.2,2640.15,274785793,7455.27
2006-02-24,2648.25,2655.0,2635.2,2644.95,196570579,4583.18
